timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707552800884,545,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-5,text,true,,103702,819,2,3,https://www.theitdepot.com/mywishlist.html,432,0,0
1707552800615,965,Search/search.html-404,200,OK,SmokeTest 2-5,text,true,,175458,782,1,3,https://www.theitdepot.com/search.html?keywords=keyboard,817,0,0
1707552800830,926,Search/search.html-404,200,OK,LoadTest 1-6,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,781,0,0
1707552801431,548,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-5,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,438,0,0
1707552801757,644,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-6,text,true,,171383,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,526,0,0
1707552801708,761,Home/-376,200,OK,LoadTest 1-7,text,true,,196539,662,2,2,https://www.theitdepot.com/,612,0,125
1707552802399,563,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-6,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,450,0,0
1707552802470,936,Search/search.html-404,200,OK,LoadTest 1-7,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,793,0,0
1707552802963,594,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-6,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,480,0,0
1707552803407,664,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-7,text,true,,171820,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,552,0,0
1707552803370,758,Home/-376,200,OK,LoadTest 1-8,text,true,,196429,662,2,2,https://www.theitdepot.com/,616,0,127
1707552804072,548,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-7,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,437,0,0
1707552804131,979,Search/search.html-404,200,OK,LoadTest 1-8,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,834,0,0
1707552804622,557,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-7,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,442,0,0
1707552805112,643,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-8,text,true,,171204,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,528,0,0
1707552805039,761,Home/-376,200,OK,LoadTest 1-9,text,true,,195935,662,2,2,https://www.theitdepot.com/,616,0,132
1707552805756,562,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-8,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,453,0,0
1707552805803,987,Search/search.html-404,200,OK,LoadTest 1-9,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,842,0,0
1707552806320,676,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-8,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,567,0,0
1707552806789,622,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-9,text,true,,171190,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,507,0,0
1707552806708,804,Home/-376,200,OK,LoadTest 1-10,text,true,,196572,662,2,2,https://www.theitdepot.com/,650,0,133
1707552807412,567,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-9,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,457,0,0
1707552807512,959,Search/search.html-404,200,OK,LoadTest 1-10,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,811,0,0
1707552807980,571,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-9,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,460,0,0
1707552808369,786,Home/-376,200,OK,LoadTest 1-11,text,true,,196145,662,2,2,https://www.theitdepot.com/,629,0,132
1707552808472,726,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-10,text,true,,171395,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,605,0,0
1707552809200,583,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-10,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,465,0,0
1707552809158,948,Search/search.html-404,200,OK,LoadTest 1-11,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,795,0,0
1707552809784,606,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-10,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,492,0,0
1707552810110,637,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-11,text,true,,171257,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,515,0,0
1707552810036,843,Home/-376,200,OK,LoadTest 1-12,text,true,,196780,662,2,2,https://www.theitdepot.com/,692,0,132
1707552810748,601,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-11,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,486,0,0
1707552810882,920,Search/search.html-404,200,OK,LoadTest 1-12,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,775,0,0
1707552811351,551,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-11,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,433,0,0
1707552811799,640,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-12,text,true,,171752,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,520,0,0
1707552811702,782,Home/-376,200,OK,LoadTest 1-13,text,true,,196241,662,2,2,https://www.theitdepot.com/,628,0,132
1707552812440,546,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-12,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,434,0,0
1707552812482,930,Search/search.html-404,200,OK,LoadTest 1-13,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,780,0,0
1707552812987,616,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-12,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,504,0,0
1707552813413,665,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-13,text,true,,171291,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,546,0,0
1707552813364,866,Home/-376,200,OK,LoadTest 1-14,text,true,,196816,662,2,2,https://www.theitdepot.com/,712,0,132
1707552814079,605,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-13,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,492,0,0
1707552814232,955,Search/search.html-404,200,OK,LoadTest 1-14,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,806,0,0
1707552814685,569,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-13,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,454,0,0
1707552815033,834,Home/-376,200,OK,LoadTest 1-15,text,true,,196114,662,2,2,https://www.theitdepot.com/,682,0,136
1707552815188,690,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-14,text,true,,170752,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,566,0,0
1707552815880,598,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-14,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,484,0,0
1707552815870,1031,Search/search.html-404,200,OK,LoadTest 1-15,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,879,0,0
1707552816479,585,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-14,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,470,0,0
1707552816703,789,Home/-376,200,OK,LoadTest 1-16,text,true,,196388,662,2,2,https://www.theitdepot.com/,638,0,135
1707552816898,689,Select/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html-425,200,OK,LoadTest 1-15,text,true,,170961,833,2,2,https://www.theitdepot.com/details-Dell+KB216+Wired+USB+Keyboard_C3P27181.html,573,0,0
1707552817589,615,AddtoWishList/mywishlist.html-541,200,OK,LoadTest 1-15,text,true,,103702,819,2,2,https://www.theitdepot.com/mywishlist.html,501,0,0
1707552817491,996,Search/search.html-404,200,OK,LoadTest 1-16,text,true,,175458,782,3,3,https://www.theitdepot.com/search.html?keywords=keyboard,836,0,0
1707552818205,581,AddtoCart/shopping-cart.html-566,200,OK,LoadTest 1-15,text,true,,106182,786,3,3,https://www.theitdepot.com/shopping-cart.html,466,0,0
1707552818360,779,Home/-376,200,OK,LoadTest 1-17,text,true,,196345,662,2,2,https://www.theitdepot.com/,630,0,129
